sample_id,accession,study,bioproject_accession,biosample_accession,library_strategy,library_source,platform,instrument_model,filetype,deepconsensus_version,generator_facility,generator_contact,filename,total_gbp,n50,path,production,coverage
HG02300,SRR25618928,SRP305758,PRJNA701308,SAMN26267395,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02300.m54329U_210702_182525.dc.q20.fastq.gz,35.21,18066,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02300.m54329U_210702_182525.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.36
HG02602,SRR25618926,SRP305758,PRJNA701308,SAMN26237507,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02602.m64043_210612_053030.dc.q20.fastq.gz,22.35,19736,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02602.m64043_210612_053030.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.21
HG02615,SRR25618925,SRP305758,PRJNA701308,SAMN26237508,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02615.m64136_210528_171842.dc.q20.fastq.gz,36.51,18942,s3://human-pangenomics/working/HPRC/HG02615/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02615.m64136_210528_171842.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.78
HG02647,SRR25618924,SRP305758,PRJNA701308,SAMN26267383,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02647.m54329U_210604_200442.dc.q20.fastq.gz,37.5,18032,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m54329U_210604_200442.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.1
HG02698,SRR25618922,SRP305758,PRJNA701308,SAMN26237509,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02698.m64043_210519_013026.dc.q20.fastq.gz,35.9,19829,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02698.m64043_210519_013026.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.58
HG02738,SRR25618920,SRP305758,PRJNA701308,SAMN26267396,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02738.m64076_210706_214544.dc.q20.fastq.gz,27.81,19146,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02738.m64076_210706_214544.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,8.97
HG03669,SRR25618918,SRP305758,PRJNA701308,SAMN26237512,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03669.m64043_210604_175624.dc.q20.fastq.gz,36.06,20305,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03669.m64043_210604_175624.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.63
HG03710,SRR25618916,SRP305758,PRJNA701308,SAMN26237513,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03710.m64043_210514_184131.dc.q20.fastq.gz,36.34,19870,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03710.m64043_210514_184131.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.72
HG03831,SRR25618915,SRP305758,PRJNA701308,SAMN26237514,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03831.m64136_210612_053350.dc.q20.fastq.gz,23.69,21536,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03831.m64136_210612_053350.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.64
HG03927,SRR25618914,SRP305758,PRJNA701308,SAMN26267386,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG03927.m54329U_210522_083046.dc.q20.fastq.gz,34.4,16442,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03927.m54329U_210522_083046.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.1
HG04115,SRR25618913,SRP305758,PRJNA701308,SAMN26267388,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04115.m64076_210623_104349.dc.q20.fastq.gz,39.83,20916,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04115.m64076_210623_104349.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.85
HG04184,SRR25618912,SRP305758,PRJNA701308,SAMN26267397,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04184.m64076_210701_234028.dc.q20.fastq.gz,29.56,20269,s3://human-pangenomics/working/HPRC/HG04184/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04184.m64076_210701_234028.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.53
HG04199,SRR25618911,SRP305758,PRJNA701308,SAMN26267389,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04199.m54329U_210614_155303.dc.q20.fastq.gz,25.01,18677,s3://human-pangenomics/working/HPRC/HG04199/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04199.m54329U_210614_155303.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,8.07
HG00544,SRR25618943,SRP305758,PRJNA701308,SAMN26237491,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00544.m64136_210522_014758.dc.q20.fastq.gz,22.59,19529,s3://human-pangenomics/working/HPRC/HG00544/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00544.m64136_210522_014758.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.29
HG00609,SRR25618921,SRP305758,PRJNA701308,SAMN26237492,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00609.m64136_210624_033152.dc.q20.fastq.gz,39.5,20052,s3://human-pangenomics/working/HPRC/HG00609/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00609.m64136_210624_033152.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.74
HG00642,SRR25618910,SRP305758,PRJNA701308,SAMN26267378,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG00642.m64076_210516_091844.dc.q20.fastq.gz,34.96,19569,s3://human-pangenomics/working/HPRC/HG00642/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00642.m64076_210516_091844.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.28
HG00738,SRR25618909,SRP305758,PRJNA701308,SAMN26237493,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG00738.m64043_210531_080529.dc.q20.fastq.gz,31,21064,s3://human-pangenomics/working/HPRC/HG00738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG00738.m64043_210531_080529.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10
HG01099,SRR25618908,SRP305758,PRJNA701308,SAMN26237494,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01099.m64043_210705_162656.dc.q20.fastq.gz,42.76,19503,s3://human-pangenomics/working/HPRC/HG01099/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01099.m64043_210705_162656.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,13.79
HG01255,SRR25618907,SRP305758,PRJNA701308,SAMN26237495,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01255.m64136_210516_022225.dc.q20.fastq.gz,39.1,21029,s3://human-pangenomics/working/HPRC/HG01255/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01255.m64136_210516_022225.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.61
HG01346,SRR25618906,SRP305758,PRJNA701308,SAMN26267379,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01346.m54329U_210629_024631.dc.q20.fastq.gz,40.01,18405,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m54329U_210629_024631.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.91
HG01346,SRR25618905,SRP305758,PRJNA701308,SAMN26267379,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01346.m64076_210621_234241.dc.q20.fastq.gz,39.7,19846,s3://human-pangenomics/working/HPRC/HG01346/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01346.m64076_210621_234241.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.81
HG01496,SRR25618941,SRP305758,PRJNA701308,SAMN26237497,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01496.m64043_210627_054642.dc.q20.fastq.gz,36.14,22840,s3://human-pangenomics/working/HPRC/HG01496/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01496.m64043_210627_054642.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.66
HG01884,SRR25618940,SRP305758,PRJNA701308,SAMN26267393,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG01884.m54329U_210716_214728.dc.q20.fastq.gz,38.5,18287,s3://human-pangenomics/working/HPRC/HG01884/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01884.m54329U_210716_214728.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.42
HG01943,SRR25618939,SRP305758,PRJNA701308,SAMN26237499,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01943.m64043_210718_100009.dc.q20.fastq.gz,33.54,18803,s3://human-pangenomics/working/HPRC/HG01943/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01943.m64043_210718_100009.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.82
HG01981,SRR25618938,SRP305758,PRJNA701308,SAMN26237500,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01981.m64136_210627_054246.dc.q20.fastq.gz,43.96,22149,s3://human-pangenomics/working/HPRC/HG01981/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01981.m64136_210627_054246.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,14.18
HG01993,SRR25618937,SRP305758,PRJNA701308,SAMN26237501,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG01993.m64043_210622_163331.dc.q20.fastq.gz,44.63,20551,s3://human-pangenomics/working/HPRC/HG01993/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG01993.m64043_210622_163331.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,14.4
HG02004,SRR25618936,SRP305758,PRJNA701308,SAMN26237502,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02004.m64136_210702_183526.dc.q20.fastq.gz,36.95,19149,s3://human-pangenomics/working/HPRC/HG02004/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02004.m64136_210702_183526.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.92
HG02132,SRR25618933,SRP305758,PRJNA701308,SAMN26267382,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02132.m54329U_210704_040110.dc.q20.fastq.gz,35.13,20164,s3://human-pangenomics/working/HPRC/HG02132/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02132.m54329U_210704_040110.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.33
HG02280,SRR25618930,SRP305758,PRJNA701308,SAMN26237505,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02280.m64136_210718_091611.dc.q20.fastq.gz,39.53,19287,s3://human-pangenomics/working/HPRC/HG02280/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02280.m64136_210718_091611.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.75
HG02293,SRR25618929,SRP305758,PRJNA701308,SAMN26267394,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02293.m54329U_210721_092510.dc.q20.fastq.gz,35.08,19077,s3://human-pangenomics/working/HPRC/HG02293/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02293.m54329U_210721_092510.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.32
HG02300,SRR25618928,SRP305758,PRJNA701308,SAMN26267395,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02300.m54329U_210710_123004.dc.q20.fastq.gz,37.9,18026,s3://human-pangenomics/working/HPRC/HG02300/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02300.m54329U_210710_123004.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.23
HG02602,SRR25618926,SRP305758,PRJNA701308,SAMN26237507,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02602.m64043_210613_133026.dc.q20.fastq.gz,30.03,19675,s3://human-pangenomics/working/HPRC/HG02602/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02602.m64043_210613_133026.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,9.69
HG02615,SRR25618925,SRP305758,PRJNA701308,SAMN26237508,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02615.m64136_210530_004827.dc.q20.fastq.gz,35.55,19438,s3://human-pangenomics/working/HPRC/HG02615/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02615.m64136_210530_004827.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.47
HG02647,SRR25618924,SRP305758,PRJNA701308,SAMN26267383,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02647.m64076_210527_231639.dc.q20.fastq.gz,31.38,17370,s3://human-pangenomics/working/HPRC/HG02647/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02647.m64076_210527_231639.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.12
HG02698,SRR25618922,SRP305758,PRJNA701308,SAMN26237509,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG02698.m64136_210514_184433.dc.q20.fastq.gz,34.22,19614,s3://human-pangenomics/working/HPRC/HG02698/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02698.m64136_210514_184433.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.04
HG02738,SRR25618920,SRP305758,PRJNA701308,SAMN26267396,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG02738.m64076_210711_102225.dc.q20.fastq.gz,32.31,19166,s3://human-pangenomics/working/HPRC/HG02738/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG02738.m64076_210711_102225.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.42
HG03669,SRR25618918,SRP305758,PRJNA701308,SAMN26237512,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03669.m64043_210606_013256.dc.q20.fastq.gz,36.72,20473,s3://human-pangenomics/working/HPRC/HG03669/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03669.m64043_210606_013256.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.84
HG03710,SRR25618916,SRP305758,PRJNA701308,SAMN26237513,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03710.m64043_210516_020821.dc.q20.fastq.gz,38.73,20403,s3://human-pangenomics/working/HPRC/HG03710/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03710.m64043_210516_020821.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,12.49
HG03831,SRR25618915,SRP305758,PRJNA701308,SAMN26237514,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,Washington University,tgraves@wustl.edu,HG03831.m64136_210613_130744.dc.q20.fastq.gz,23.79,21511,s3://human-pangenomics/working/HPRC/HG03831/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03831.m64136_210613_130744.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,7.68
HG03927,SRR25618914,SRP305758,PRJNA701308,SAMN26267386,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG03927.m64076_210514_222349.dc.q20.fastq.gz,31.72,15946,s3://human-pangenomics/working/HPRC/HG03927/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG03927.m64076_210514_222349.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,10.23
HG04115,SRR25618913,SRP305758,PRJNA701308,SAMN26267388,WGS,GENOMIC,PACBIO_SMRT,Sequel II,fastq,1.2,University of Washington,kmiyamot@uw.edu,HG04115.m64076_210625_220013.dc.q20.fastq.gz,34.57,22513,s3://human-pangenomics/working/HPRC/HG04115/raw_data/PacBio_HiFi/deepconsensus/v1pt2/HG04115.m64076_210625_220013.dc.q20.fastq.gz,HPRC_DEEPCONSENSUS_v1pt2,11.15
